rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,5,0.06,0.12,0.3938,0.3424,0.3349,0.2878,0.4199,0.3256,0.3311,0.3362,11.0754,10.6701,11.7784,16.8698,0.6755,0.2126,0.577,4.0
0,5,0.14,-0.2,0.177,0.1833,0.1635,0.2361,0.2229,0.2433,0.1865,0.2538,12.1059,14.2641,12.7247,13.4413,0.571,0.2098,0.4485,5.5
0,5,0.2,-0.12,0.1404,0.1802,0.1369,0.1657,0.1913,0.2336,0.1249,0.1571,13.1093,13.7051,13.8904,16.3955,0.6119,0.2096,0.5048,5.5
0,5,0.26,-0.04,0.1727,0.2108,0.1413,0.142,0.2125,0.2395,0.089,0.1071,14.2792,12.9157,15.2267,19.7986,0.673,0.2124,0.5949,5.375
0,6,-0.08,0.04,0.2595,0.2023,0.255,0.2868,0.3532,0.2808,0.3387,0.3165,21.3668,26.463,21.7525,16.4133,0.3459,0.1554,0.1798,4.5
0,6,-0.02,0.12,0.4124,0.2966,0.3804,0.3569,0.3576,0.2103,0.3468,0.3506,10.0196,13.8697,10.4831,11.4421,0.5594,0.2147,0.4373,4.5
0,6,0.06,-0.2,0.2339,0.2249,0.2119,0.2698,0.3155,0.3136,0.2775,0.3292,12.5436,16.2325,13.1782,11.4019,0.5165,0.2006,0.375,5.0
0,6,0.12,-0.12,0.1935,0.2027,0.1788,0.2345,0.2825,0.2967,0.2185,0.2763,11.5454,13.7504,12.3776,13.2222,0.5731,0.2102,0.4497,5.25
0,6,0.18,-0.04,0.1961,0.2225,0.1632,0.17,0.2433,0.2561,0.1274,0.1587,13.6969,12.3386,14.563,19.2753,0.6899,0.2063,0.5967,5.125
0,6,0.24,0.04,0.1579,0.1666,0.0985,0.1119,0.1925,0.1824,0.0371,0.0745,16.2279,14.1409,17.1471,22.3626,0.7145,0.2063,0.6496,5.125
0,7,-0.1,0.12,0.2318,0.1775,0.2153,0.2492,0.3637,0.2912,0.3546,0.3235,23.4449,28.538,23.7873,18.2948,0.3027,0.1428,0.147,4.375
0,7,-0.02,-0.2,0.2606,0.1993,0.2704,0.3378,0.3188,0.2491,0.366,0.3984,18.0865,23.1356,18.2526,13.0235,0.3959,0.1816,0.2354,4.5
0,7,0.04,-0.12,0.2831,0.236,0.2705,0.2982,0.3521,0.2989,0.3277,0.3484,13.5992,17.9633,14.1157,11.4038,0.4957,0.1942,0.3402,4.75
0,7,0.1,-0.04,0.2619,0.2594,0.2245,0.2237,0.3156,0.2998,0.1992,0.2249,10.7621,11.347,11.8406,15.4433,0.6331,0.2154,0.527,4.75
0,7,0.16,0.04,0.2125,0.2014,0.1503,0.1565,0.2545,0.2117,0.0956,0.1336,13.6426,12.4187,14.6724,19.5901,0.6975,0.2021,0.6071,4.75
0,7,0.22,0.12,0.2047,0.2102,0.2426,0.1658,0.1976,0.1586,0.2735,0.2213,17.2499,14.9672,16.9616,23.0154,0.7419,0.2012,0.6739,5.0
0,8,-0.1,-0.2,0.1619,0.1203,0.1561,0.1971,0.3628,0.2719,0.3335,0.3402,25.6551,30.9045,26.0629,19.9988,0.2623,0.1215,0.1006,4.625
0,8,-0.04,-0.12,0.2929,0.2247,0.2781,0.3251,0.3563,0.2764,0.3623,0.3754,18.7999,23.8309,19.1043,14.0443,0.3844,0.1884,0.2281,4.5
0,8,0.02,-0.04,0.3162,0.2672,0.2918,0.3155,0.3768,0.3121,0.3394,0.372,10.6794,14.7133,11.3386,10.4671,0.5265,0.2206,0.3975,4.125
0,8,0.08,0.04,0.3025,0.2599,0.311,0.263,0.3138,0.2264,0.2946,0.2938,10.254,12.2597,10.7165,13.7628,0.6004,0.2235,0.4961,4.25
0,8,0.14,0.12,0.2506,0.2385,0.2857,0.2007,0.2301,0.1644,0.2991,0.249,15.062,13.674,14.7899,20.4752,0.7002,0.2112,0.6278,4.625
0,8,0.22,-0.2,0.1323,0.1341,0.1239,0.2039,0.1765,0.1766,0.1367,0.2181,12.9926,15.1901,13.6298,14.1878,0.5727,0.2162,0.4491,5.75
0,8,0.28,-0.12,0.1464,0.1877,0.1325,0.1516,0.2017,0.2384,0.1083,0.1359,13.08,12.7634,13.9717,17.601,0.6267,0.2241,0.5462,5.75
0,9,-0.06,-0.04,0.3104,0.2315,0.2839,0.3176,0.4223,0.3316,0.3793,0.373,19.0705,24.2011,19.5907,14.4707,0.3776,0.1732,0.2165,4.25
0,9,0.0,0.04,0.3912,0.3487,0.3562,0.29,0.4598,0.376,0.4059,0.3839,9.4586,9.9549,10.0518,14.8551,0.6368,0.2174,0.5439,4.75
0,9,0.06,0.12,0.3417,0.2969,0.3088,0.2664,0.3757,0.2689,0.3044,0.3111,12.309,11.2541,12.8142,18.3168,0.7076,0.1922,0.6054,4.0
0,9,0.14,-0.2,0.1632,0.1679,0.1418,0.2235,0.217,0.2471,0.1867,0.2576,12.4877,15.165,13.0742,12.749,0.5563,0.1989,0.4188,5.5
0,9,0.2,-0.12,0.143,0.1654,0.1362,0.1722,0.1943,0.2171,0.1329,0.1723,12.6139,13.3308,13.3525,16.0246,0.6138,0.2117,0.5089,5.5
0,9,0.26,-0.04,0.1774,0.2081,0.1449,0.1406,0.2108,0.2233,0.0805,0.0996,14.3819,13.1213,15.372,19.9249,0.671,0.2144,0.5957,5.375
0,10,-0.08,0.04,0.2386,0.1859,0.2461,0.2698,0.3231,0.2497,0.3262,0.3,21.4694,26.5334,21.781,16.565,0.3596,0.1495,0.1829,4.375
0,10,-0.02,0.12,0.3672,0.2793,0.3593,0.3523,0.3222,0.1914,0.3521,0.3567,10.0902,13.7729,10.2671,11.3411,0.5718,0.2106,0.4398,4.5
