rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,0,0.02,-0.04,0.4418,0.382,0.4098,0.3515,0.4926,0.4021,0.4306,0.403,8.3972,11.3524,9.2507,11.79,0.5823,0.222,0.4687,5.125
0,0,0.08,0.04,0.3214,0.3222,0.3075,0.2424,0.4369,0.4062,0.4031,0.3739,15.2711,12.4478,15.4618,21.7687,0.74,0.1986,0.6724,5.625
0,0,0.14,0.12,0.2488,0.2974,0.2437,0.1471,0.4168,0.5081,0.4032,0.2882,23.644,19.4248,23.6511,30.5131,0.8073,0.2011,0.8175,6.0
0,0,0.22,-0.2,0.2699,0.3132,0.2356,0.2083,0.2956,0.3492,0.2027,0.1817,12.4487,12.2351,13.3896,16.9716,0.6199,0.2115,0.5294,5.25
0,0,0.28,-0.12,0.1494,0.1672,0.1133,0.0535,0.2345,0.2695,0.165,0.1013,22.3334,18.5372,22.5466,29.1241,0.8028,0.1839,0.783,4.75
0,1,-0.06,-0.04,0.3024,0.2224,0.2699,0.3358,0.4293,0.3242,0.4197,0.4553,19.8523,25.1245,20.2262,14.4493,0.3592,0.1749,0.1949,4.25
0,1,0.0,0.04,0.4018,0.3484,0.3696,0.3183,0.4753,0.3742,0.4198,0.4171,9.1326,9.8775,9.7437,14.4314,0.6277,0.221,0.5395,4.625
0,1,0.06,0.12,0.3301,0.3482,0.3272,0.2278,0.4995,0.5004,0.4787,0.3947,18.1511,14.5939,18.2306,24.9093,0.758,0.202,0.7274,5.375
0,1,0.14,-0.2,0.2946,0.3006,0.2937,0.2893,0.3239,0.3246,0.263,0.2771,11.6336,13.4838,12.4237,14.0788,0.5821,0.2103,0.4656,5.125
0,1,0.2,-0.12,0.2732,0.3257,0.2722,0.1944,0.3522,0.3943,0.2628,0.2138,11.8883,10.8597,12.6899,17.4677,0.638,0.2269,0.5644,5.0
0,1,0.26,-0.04,0.1518,0.1693,0.1031,0.0498,0.25,0.2893,0.1588,0.1002,24.3844,20.3747,24.5825,31.2642,0.8375,0.1764,0.8224,4.625
0,2,-0.08,0.04,0.2327,0.1755,0.2119,0.2584,0.4271,0.3209,0.3899,0.4138,22.9103,28.2181,23.3537,17.3052,0.3174,0.1495,0.141,4.125
0,2,-0.02,0.12,0.3981,0.3539,0.3689,0.3449,0.4569,0.3721,0.4262,0.4513,9.1446,9.9979,9.6275,14.0453,0.6441,0.2095,0.5336,4.375
0,2,0.06,-0.2,0.2917,0.2422,0.2563,0.2869,0.3565,0.2836,0.2617,0.3037,13.7258,18.2926,14.6839,11.6858,0.483,0.1973,0.3328,4.75
0,2,0.12,-0.12,0.2785,0.2976,0.2483,0.2386,0.3195,0.3389,0.2332,0.2418,11.1643,11.4205,12.0512,15.6683,0.6322,0.2109,0.5266,4.75
0,2,0.18,-0.04,0.2435,0.2926,0.2119,0.1815,0.2971,0.3632,0.1931,0.1728,15.499,12.7398,16.1608,21.7271,0.6997,0.2097,0.6445,4.75
0,2,0.24,0.04,0.1241,0.1339,0.0813,0.035,0.213,0.225,0.1282,0.0796,26.3718,22.3416,26.515,33.2351,0.8614,0.1756,0.856,4.375
0,3,-0.1,0.12,0.1657,0.1223,0.1503,0.1977,0.4219,0.3007,0.3793,0.4201,25.7768,31.1292,26.2036,19.8618,0.2731,0.1211,0.0902,4.375
0,3,-0.02,-0.2,0.3076,0.2358,0.3041,0.3456,0.4257,0.3287,0.4148,0.4215,19.0473,24.2528,19.4269,14.0237,0.3782,0.1676,0.212,4.5
0,3,0.04,-0.12,0.3895,0.3203,0.3563,0.3533,0.4404,0.356,0.3628,0.3752,10.9716,15.4272,11.8867,10.3317,0.5148,0.2099,0.3767,4.5
0,3,0.1,-0.04,0.3154,0.3122,0.2648,0.2357,0.3608,0.3507,0.2387,0.2438,12.2484,11.1657,13.1825,18.0377,0.6699,0.2119,0.5834,4.5
0,3,0.16,0.04,0.2902,0.3364,0.2917,0.1767,0.4332,0.4914,0.4367,0.3324,21.425,17.3828,21.4084,28.2295,0.7986,0.2007,0.7801,6.25
0,3,0.22,0.12,0.146,0.1651,0.1094,0.0568,0.2559,0.2786,0.1699,0.1213,26.8057,22.6931,26.9273,33.6801,0.8901,0.1317,0.8653,4.25
0,4,-0.1,-0.2,0.1021,0.0796,0.0978,0.126,0.3633,0.2945,0.366,0.3968,27.8526,33.1011,28.1813,21.7776,0.2011,0.0998,0.0567,4.875
0,4,-0.04,-0.12,0.3713,0.2864,0.3487,0.388,0.4692,0.3581,0.4259,0.4393,16.6028,21.8483,17.1462,12.1139,0.4148,0.1897,0.2506,4.125
0,4,0.02,-0.04,0.3717,0.2994,0.3394,0.3233,0.4263,0.3367,0.3746,0.387,9.6336,13.5218,10.4103,10.6762,0.5511,0.2068,0.4216,5.125
0,4,0.08,0.04,0.319,0.3016,0.2638,0.2374,0.4154,0.3748,0.2981,0.3158,14.4603,11.9865,15.0079,20.9499,0.7255,0.207,0.6542,4.0
0,4,0.14,0.12,0.2715,0.3192,0.2607,0.1672,0.4544,0.5218,0.4173,0.3174,23.4076,19.2324,23.456,30.2959,0.8006,0.2122,0.8147,6.0
0,4,0.22,-0.2,0.2542,0.2791,0.2426,0.2201,0.2811,0.3038,0.2061,0.1979,11.7045,12.6984,12.5709,15.3072,0.5932,0.2162,0.496,5.25
0,4,0.28,-0.12,0.1549,0.1744,0.115,0.0593,0.2363,0.2815,0.1768,0.117,21.8909,18.0957,22.0837,28.6357,0.7915,0.1876,0.7752,4.75
0,5,-0.06,-0.04,0.2802,0.2029,0.2568,0.3055,0.4194,0.3026,0.3849,0.4108,19.7611,25.073,20.2311,14.5697,0.3814,0.1613,0.1964,4.375
0,5,0.0,0.04,0.3964,0.3475,0.3686,0.3183,0.4861,0.3802,0.4305,0.4371,9.5449,9.8326,10.1107,15.0653,0.6462,0.2101,0.5536,4.75
0,5,0.06,0.12,0.3019,0.3101,0.2841,0.2137,0.479,0.4435,0.4599,0.4168,19.0459,15.5191,19.112,25.7436,0.7605,0.2075,0.7421,5.375
0,5,0.14,-0.2,0.278,0.2956,0.2706,0.2556,0.2884,0.3032,0.2285,0.2277,12.0696,14.4594,12.8684,13.6613,0.558,0.2025,0.436,5.125
0,5,0.2,-0.12,0.2591,0.3164,0.2598,0.1699,0.3501,0.4023,0.2754,0.2159,13.0391,11.2262,13.6644,18.9275,0.6751,0.2059,0.5929,4.75
0,5,0.26,-0.04,0.1409,0.1511,0.0864,0.0447,0.2218,0.2365,0.1283,0.0897,23.3491,19.5462,23.6049,30.16,0.8319,0.1693,0.801,4.625
0,6,-0.08,0.04,0.2111,0.1576,0.1979,0.2564,0.4219,0.3081,0.3883,0.4261,24.0621,29.3911,24.4853,18.2928,0.2946,0.1422,0.1223,4.375
0,6,-0.02,0.12,0.4466,0.387,0.3803,0.3423,0.5104,0.4112,0.4239,0.4189,8.6886,9.8393,9.5498,13.9225,0.6435,0.2059,0.5274,4.25
0,6,0.06,-0.2,0.3253,0.287,0.3209,0.3434,0.3911,0.3436,0.3446,0.3677,13.5905,18.1783,14.2374,10.9269,0.465,0.2115,0.3242,4.75
